Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
51,1992,NBA,2,29,NJN,P.J. Brown\brownpj01,22.259,F-C,us,Louisiana Tech,1994,2008,1089,31.1,9.1,7.7,1.5,0.8,1.0,.460,.463,.136,.794,89.8,.128
52,1989,NBA,2,36,POR,Clifford Robinson\robincl02,22.199,F-C,us,UConn,1990,2007,1380,30.8,14.2,4.6,2.2,1.0,1.0,.438,.459,.356,.689,89.7,.101
53,1992,NBA,1,2,CHH,Alonzo Mourning\mournal01,22.142,C,us,Georgetown,1993,2008,838,31.0,17.1,8.5,1.1,0.5,2.8,.527,.530,.247,.692,89.7,.166
54,1989,NBA,1,17,SEA,Shawn Kemp\kempsh01,19.218,F-C,us,Trinity Valley Community College,1990,2003,1051,27.9,14.6,8.4,1.6,1.1,1.2,.488,.490,.277,.741,89.5,.147
55,1989,NBA,1,4,MIA,Glen Rice\ricegl01,22.036,F,us,Michigan,1990,2004,1000,35.0,18.3,4.4,2.1,1.0,0.3,.456,.476,.400,.846,88.7,.122
56,1988,NBA,3,53,POR,Anthony Mason\masonan01,21.202,F,us,Tennessee State,1990,2003,882,34.7,10.9,8.3,3.4,0.7,0.3,.509,.510,.167,.709,88.3,.138
57,2006,NBA,2,47,UTA,Paul Millsap\millspa01,21.143,F,us,Louisiana Tech,2007,2019,945,29.3,14.1,7.4,2.3,1.3,1.0,.491,.513,.334,.734,88.2,.153
58,1998,NBA,1,4,TOR,Antawn Jamison\jamisan01,22.017,F,us,UNC,1999,2014,1083,34.8,18.5,7.5,1.6,1.0,0.4,.451,.477,.346,.724,87.8,.112
59,1993,NBA,1,24,HOU,Sam Cassell\cassesa01,23.230,G,us,Florida State,1994,2008,993,30.0,15.7,3.2,6.0,1.1,0.2,.454,.477,.331,.861,87.5,.141
60,1991,NBA,1,13,IND,Dale Davis\davisda01,22.098,F-C,us,Clemson,1992,2007,1094,27.1,8.0,7.9,0.9,0.6,1.2,.530,.530,.000,.562,86.9,.141
61,2006,NBA,1,24,MEM,Kyle Lowry\lowryky01,20.100,G,us,Villanova,2007,2019,856,31.3,14.4,4.3,6.1,1.4,0.3,.424,.469,.367,.805,86.7,.155
62,2003,NBA,1,18,NOH,David West\westda01,22.306,F-C,us,Xavier,2004,2018,1034,28.2,13.6,6.4,2.2,0.7,0.8,.495,.499,.265,.817,85.9,.141
63,1988,NBA,1,19,NYK,Rod Strickland\stricro02,21.358,G,us,DePaul,1989,2005,1094,30.7,13.2,3.7,7.3,1.5,0.2,.454,.465,.282,.721,85.8,.122
64,2007,NBA,1,3,ATL,Al Horford\horfoal01,21.030,C-F,do,Florida,2008,2019,786,32.8,14.1,8.4,3.2,0.8,1.2,.525,.545,.368,.754,85.7,.160
65,1995,NBA,1,21,PHO,Michael Finley\finlemi01,22.119,G-F,us,Wisconsin,1996,2010,1103,34.4,15.7,4.4,2.9,0.9,0.3,.444,.467,.375,.811,85.2,.108
66,1989,NBA,1,14,GSW,Tim Hardaway\hardati01,22.305,G,us,Texas-El Paso,1990,2003,867,35.3,17.7,3.3,8.2,1.6,0.1,.431,.469,.355,.782,85.0,.133
67,1993,NBA,1,1,ORL,Chris Webber\webbech01,20.126,F-C,us,Michigan,1994,2008,831,37.1,20.7,9.8,4.2,1.4,1.4,.479,.490,.299,.649,84.7,.132
68,1991,NBA,1,5,MIA,Steve Smith\smithst01,22.092,G,us,Michigan State,1992,2005,942,30.6,14.3,3.2,3.1,0.8,0.3,.440,.476,.358,.845,83.7,.139
69,2008,NBA,2,35,LAC,DeAndre Jordan\jordade01,19.345,C,us,Texas A&M,2009,2019,819,28.2,9.6,10.9,0.9,0.6,1.6,.670,.671,.091,.466,83.4,.173
70,2001,NBA,1,13,HOU,Richard Jefferson\jefferi01,21.011,F,us,Arizona,2002,2018,1181,29.0,12.6,4.0,2.0,0.7,0.3,.464,.493,.376,.768,83.0,.116
